,2020,2030,2040,2050
Share rNTC [-],0.03775263337995158,0.04622330381364321,0.04061869617637556,0.04146663393079111
Share RES [-],0.6403351379682491,0.7794030367372563,0.8504397106922235,0.8729430720369026
Share Storage [-],0.32191222865179925,0.17437365944910052,0.108941593131401,0.0855902940323064
Total [EUR],84816569723.66597,156580363528.56317,250625038624.2622,319002187047.5199
