,2020,2030,2040,2050
Distrib Grid,0.395675879287613,0.35823028321746037,0.35314509151905743,0.3325138692172343
AC Lines,0.041458269119809404,0.045789251000305724,0.04754782515891456,0.04835104884471654
DC Lines,0.02109385663999438,0.08839238551681569,0.10442295618322811,0.13129726883032966
PHS,0.19087174735266507,0.18114332473901879,0.14586032986228298,0.13269612538366468
Hydro,0.3425028124453112,0.3250460009892186,0.2617337237958449,0.23811169947811672
Battery,0.008397435154606895,0.0013987545371806722,0.08729007348067204,0.11702998824593816
