,,2020,2030,2040,2050
generators,services rural solar thermal,0.0,27211.936169229415,27211.936169229415,27211.936169229415
generators,services urban decentral solar thermal,0.0,27211.936169229415,27211.936169229415,27211.936169229415
generators,uranium,0.0,0.0,0.0,0.0
generators,urban central solar thermal,0.0,17664.37569062365,17664.37569062365,17664.37569062365
links,BioSNG,0.0,248483.04349377716,198032.19318631216,181991.24588565048
links,DAC,0.0,1569741.008108244,1547829.6370441196,1544332.3515708314
links,EV charger,0.0,0.0,0.0,0.0
links,H2 Fuel Cell,0.0,111967.91965463595,97107.1480767605,96572.85634088988
links,H2 pipeline,0.0,8291.294481066276,13701.414597878615,12122.085805004177
links,H2 pipeline retrofitted,0.0,11612.309250082606,10044.721158742828,9907.806229203117
links,H2 turbine,0.0,19564.65493111743,19534.89147903865,19534.886335840754
links,Haber-Bosch,0.0,652881.6904272938,638850.294271889,611702.5217706084
links,SMR CC,0.0,79103.13403637432,79103.13403637434,79103.13403637432
links,Sabatier,0.0,67651.68975151317,59911.28675725829,59834.79437373991
links,V2G,0.0,0.0,0.0,0.0
links,ammonia cracker,0.0,99161.63412037326,75186.41949269648,74689.12164921516
links,biogas to gas CC,0.0,236657.1460327926,220080.37083336263,202574.82308203934
links,biomass to liquid,0.0,391673.4942387478,334574.57059108966,333533.37611691427
links,coal,0.0,111278.64905784962,111278.64905784962,111278.64905784962
links,lignite,0.0,111278.6490578496,111278.6490578496,111278.64905784962
links,methanolisation,0.0,76920.16040879975,72770.24395028893,68346.6350528196
links,nuclear,0.0,245733.65418689058,245733.6541868906,245733.6541868906
links,oil,0.0,14030.308087454745,14030.308087454749,14030.308087454747
links,residential rural water tanks charger,0.0,0.0,0.0,0.0
links,residential rural water tanks discharger,0.0,0.0,0.0,0.0
links,residential urban decentral water tanks charger,0.0,0.0,0.0,0.0
links,residential urban decentral water tanks discharger,0.0,0.0,0.0,0.0
links,services rural water tanks charger,0.0,0.0,0.0,0.0
links,services rural water tanks discharger,0.0,0.0,0.0,0.0
links,services urban decentral water tanks charger,0.0,0.0,0.0,0.0
links,services urban decentral water tanks discharger,0.0,0.0,0.0,0.0
links,shipping methanol,0.0,0.0,0.0,0.0
links,solid biomass transport,0.0,70.28122383000567,70.4529687412306,69.91099632795854
links,urban central water tanks charger,0.0,0.0,0.0,0.0
links,urban central water tanks discharger,0.0,0.0,0.0,0.0
stores,Li ion,0.0,0.0,0.0,0.0
stores,NH3,0.0,19.083039311782485,19.083039311782485,19.083039311782485
stores,biogas,0.0,0.0,0.0,0.0
stores,lignite,0.0,0.02,0.02,0.02
stores,methanol,0.0,0.0,0.0,0.0
stores,residential rural water tanks,0.0,1625.3307168905164,1625.3307168905162,1625.3307168905164
stores,residential urban decentral water tanks,0.0,1625.3307168905164,1625.3307168905167,1625.3307168905164
stores,services rural water tanks,0.0,1625.3307168905164,1625.3307168905162,1625.3307168905164
stores,services urban decentral water tanks,0.0,1625.3307168905164,1625.3307168905162,1625.3307168905164
stores,uranium,0.0,0.02,0.02,0.02
stores,urban central water tanks,0.0,52.609749970825455,49.72021102116505,49.032289179076756
