Year,Solar,ROR,Wind (Onshore),Wind (Offshore),AC Lines,DC Lines,Distrib Grid,PHS,Hydro,Battery
2034,61484.846049699394,369872.24970752705,137281.7351152808,525295.454247435,27469.242495940405,38792.045314610135,60335.49422081601,219278.6787542852,219278.6787542852,13153.103932158367
2035,61184.007941993754,370105.46571308037,136966.16409397058,525488.6566095717,27444.964636549168,38838.50493287009,60373.53763436321,219416.94080990716,219416.94080990716,12580.238319661055
2036,60882.741839490765,370338.6817186336,136650.08627934047,525681.6850385814,27420.63435244268,38884.9922770501,60411.581047910426,219555.2028655291,219555.2028655291,12006.640291103822
2037,60581.0477421904,370571.89772418694,136333.50167139046,525874.5395344639,27396.251643620948,38931.507347150175,60449.62446145764,219693.46492115106,219693.46492115106,11432.309846486673
2038,60278.92565009267,370805.1137297402,136016.41027012054,526067.2200972193,27371.816510083965,38978.050143170316,60487.66787500486,219831.726976773,219831.726976773,10857.246985809605
2039,59976.37556319757,371038.3297352935,135698.81207553076,526259.7267268478,27347.328951831732,39024.62066511051,60525.71128855207,219969.98903239495,219969.98903239495,10281.451709072617
2040,59673.39748150512,371271.5457408468,135380.70708762106,526452.0594233491,27322.788968864257,39071.21891297077,60563.754702099286,220108.2510880169,220108.2510880169,9704.92401627571
2041,59483.22300736332,371504.76174640015,135279.95516184915,525829.8736128226,27292.98347484021,39124.998186597964,60601.79811564651,220246.5131436389,220246.5131436389,9636.25865286399
2042,59292.76270307299,371737.97775195347,135178.96997036977,525206.4914424965,27263.11901096179,39178.81416726304,60639.84152919373,220384.77519926085,220384.77519926085,9567.499424749916
2043,59102.01656863417,371971.1937575067,135077.7515131831,524581.912912371,27233.19557722902,39232.66685496598,60677.884942740944,220523.0372548828,220523.0372548828,9498.646331933493
2044,58910.98460404685,372204.40976306004,134976.29979028902,523956.13802244596,27203.213173641885,39286.556249706795,60715.92835628816,220661.29931050475,220661.29931050475,9429.699374414717
2045,58719.66680931103,372437.6257686133,134874.6148016876,523329.16677272145,27173.171800200398,39340.48235148549,60753.97176983537,220799.5613661267,220799.5613661267,9360.658552193592
2046,58528.06318442669,372670.8417741666,134772.69654737876,522700.99916319747,27143.07145690454,39394.44516030205,60792.015183382595,220937.82342174865,220937.82342174865,9291.523865270115
2047,58336.17372939386,372904.0577797199,134670.54502736256,522071.6351938739,27112.91214375433,39448.4446761565,60830.05859692981,221076.0854773706,221076.0854773706,9222.295313644288
2048,58143.99844421252,373137.2737852732,134568.160241639,521441.0748647509,27082.69386074977,39502.48089904881,60868.10201047703,221214.34753299254,221214.34753299254,9152.972897316109
2049,57951.537328882674,373370.48979082645,134465.54219020804,520809.3181758283,27052.416607890835,39556.55382897899,60906.14542402424,221352.6095886145,221352.6095886145,9083.55661628558
2050,57758.79038340433,373603.70579637977,134362.69087306978,520176.3651271063,27022.080385177545,39610.66346594706,60944.188837571455,221490.87164423644,221490.87164423644,9014.0464705527
