,,2020,2030,2040,2050
links,residential urban decentral air heat pump,0.0,10906001264.574858,22556026762.348434,20287404954.678795
links,residential urban decentral biomass boiler,3813800344.425914,3336262283.7074885,3916677542.9780107,4294336705.0851
links,residential urban decentral gas boiler,20389506181.89115,22543249964.327396,29913113565.86704,29951972716.78334
links,residential urban decentral oil boiler,10454092193.789982,1512982240.7737975,0.0,0.0
links,residential urban decentral resistive heater,687846312.3750054,1591158536.6755855,1712228169.0604677,1727099990.4682145
links,services rural air heat pump,0.0,220111.55991913145,4322906.1503356695,4146360.173593163
links,services rural biomass boiler,1676214084.5643582,190859988.9281163,213845945.42200714,213894672.77326953
links,services rural gas boiler,4084891466.098161,2852268125.0043335,2839601800.927937,2839642966.924012
links,services rural ground heat pump,0.0,6725158628.498745,9819982484.559153,10288664971.559452
links,services rural oil boiler,1429232302.3096502,178410854.30338025,0.0,0.0
links,services rural resistive heater,85938677.33868934,241665996.151076,238229689.54659823,238258589.9552624
links,services urban decentral air heat pump,0.0,4316322528.548523,8926994724.809366,8155126454.967282
links,services urban decentral biomass boiler,1123920942.9733226,1318032992.0194724,1621792891.9845538,1767128615.2089212
links,services urban decentral gas boiler,8730673167.214123,8842974743.764406,11711732900.412409,11725686036.252283
links,services urban decentral oil boiler,4334457514.396535,602307429.7677813,0.0,0.0
links,services urban decentral resistive heater,274923835.52421457,672266316.104255,694218662.9676673,700300265.3336184
links,shipping oil,0.0,0.0,0.0,0.0
links,solid biomass for industry,0.0,0.0,0.0,0.0
links,solid biomass for industry CC,0.0,761204399.3191433,2712289604.3916416,3474274361.5660396
links,urban central air heat pump,0.0,1316567710.5236855,2206763397.4434495,5536920327.201769
links,urban central gas CHP,453273525.1372419,228278332.5005159,3002156275.036003,3550271761.297237
links,urban central gas CHP CC,0.0,452469325.4075847,454548813.8102572,454574947.1101539
links,urban central gas boiler,1084845538.777426,677766022.1565897,756975196.3624576,962930080.3183337
links,urban central resistive heater,26946.04000601692,187217315.90823302,1289191560.9107635,1493103436.2378273
links,urban central solid biomass CHP,6449206247.139069,9498485384.283607,6939634355.856545,6024508692.770211
links,urban central solid biomass CHP CC,0.0,1844292122.8132956,3291618569.6445985,3523314710.685069
storage_units,PHS,9770741662.97982,9770741662.97982,9770741662.97982,9770741662.97982
storage_units,hydro,17532749323.366215,17532749323.366215,17532749323.366215,17532749323.366215
stores,H2,11691.613470706838,50637370.166432224,463439800.2490619,1901940279.1281476
stores,battery,429865449.7865022,75447821.51041842,5847297606.740947,8617205503.676231
stores,co2,0.0,0.0,0.0,0.0
stores,co2 sequestered,11943.182701324919,1295170675.125729,2157976185.3997903,2476422340.151655
stores,co2 stored,19626.940985433503,1146222.3994553876,8703268.120586282,3253852.2745352136
stores,coal,85131073.76234819,70537556.98283583,77701902.39577296,64560063.820587054
stores,gas,4862080869.081739,4607336493.667466,5128467689.176055,4604145777.352412
stores,home battery,16076225.244986083,234691.60888975987,22994846.507773317,528527000.6369633
stores,oil,2052008113.8988922,2350106770.980663,2486510035.71945,2066523150.8542747
stores,solid biomass,0.0,0.0,0.0,0.0
generators,load,0.0,0.0,0.0,0.0
generators,offwind,0.0,6250363151.662834,6123695851.851238,3980799830.0632133
