,,2020,2030,2040,2050
stores,oil,102600405694.94461,117505338549.03314,124325501785.9725,103326157542.71375
stores,solid biomass,1335648035.7288077,1170739788.8001566,1175106654.550086,1193526375.7403958
generators,load,0.0,1031000000.0,999000000.0,935000000.0
generators,offwind,0.0,30031.2,29422.600000000002,19126.600000000002
generators,residential rural solar thermal,0.0,0.9765926838400814,20.266827926347606,20.525621740503535
generators,residential urban decentral solar thermal,0.0,1.1668309797413607,23.221456804215553,23.50753607775295
generators,services rural solar thermal,0.0,0.9713457855235782,19.85457642104568,20.111370449410245
generators,services urban decentral solar thermal,0.0,1.1172504729593449,22.3700473727444,22.653804500355175
generators,uranium,0.0,194447.2939571668,107178.41439830449,77086.87548456264
generators,urban central solar thermal,0.0,1.8713784064643728,94.40622228295219,95.12846642826379
links,BioSNG,0.0,37.12105689488041,129.46937400886597,236.6208888185933
links,DAC,0.0,3481.8298995374553,3800.0935886528414,3826.7890254489394
links,EV charger,0.0,717337.9669142163,1721611.1205941192,2438949.0875083352
links,H2 Fuel Cell,0.0,0.7945443119349723,29.763967743940736,29.211839794855486
links,H2 pipeline,0.0,30848.66379631469,146837.7120012585,285584.63131247857
links,H2 pipeline retrofitted,0.0,21607.709748306595,63310.18020956044,89594.66371554259
links,H2 turbine,0.0,3633.8675053646325,13543.51235083144,13544.425231843954
links,Haber-Bosch,0.0,2604.1040483885527,2952.5710340869505,3348.7610909351824
links,SMR CC,0.0,24.01455084309025,41.34702324176586,41.55044512905031
links,Sabatier,0.0,0.6662958924082147,23.618168184574344,23.84084026907214
links,V2G,0.0,717337.9669142163,1721611.1205941192,2438949.0875083352
links,ammonia cracker,0.0,0.4857200968831049,12.407684044145071,12.650308968739251
links,biogas to gas CC,0.0,1528.1281709231603,3269.259444385396,6094.043544000227
links,biomass to liquid,0.0,0.38639217764303535,8.399279126193917,8.535880581544793
links,coal,0.0,65730.90647846764,43194.59236687887,15089.483933468156
links,lignite,0.0,76088.51324381273,30086.080298621164,11671.329136440208
links,methanolisation,0.0,19172.302542614245,32645.353194744723,45162.42738323443
links,nuclear,0.0,198441.71779141104,110288.03680981595,78533.43558282209
links,oil,0.0,6329.444779385004,3484.36348724376,1414.1142857142859
links,residential rural water tanks charger,0.0,88570.60291920182,114629.45309676879,120657.10869789972
links,residential rural water tanks discharger,0.0,95513.7679375256,124744.87911750661,120114.78387702629
links,residential urban decentral water tanks charger,0.0,240298.87783184415,272669.57632509567,264218.4912002581
links,residential urban decentral water tanks discharger,0.0,247104.18145410708,271458.88481854234,248356.73710919317
links,services rural water tanks charger,0.0,32112.77732165922,46926.36397798519,49453.53412360762
links,services rural water tanks discharger,0.0,46122.14040637319,60776.846225467096,62146.05690650865
links,services urban decentral water tanks charger,0.0,83226.04793833803,103374.63292827754,102442.7875597187
links,services urban decentral water tanks discharger,0.0,93561.41233773393,105320.34621191135,98380.86972570459
links,shipping methanol,0.0,16217.756964181688,21623.661011125198,27029.596076625323
links,solid biomass transport,0.0,6900000.0,6900000.0,6900000.0
links,urban central water tanks charger,0.0,100065.71985187923,202317.77280952843,246915.0949323582
links,urban central water tanks discharger,0.0,104173.08033781951,166539.31178008462,218711.79555664014
stores,Li ion,0.0,1630313.5611686737,3912752.5468048165,5543066.10797349
stores,NH3,0.0,45955.819054256164,2884392.235865412,12280215.011494704
stores,biogas,0.0,341296317.2642134,347149631.6410695,353300165.5703613
stores,lignite,0.0,3527038975.7570667,3884838503.2232285,3227930068.214559
stores,methanol,0.0,1436901753.6722245,800212198.5873867,689809223.1896081
stores,residential rural water tanks,0.0,265344.559697691,336929.12163392745,341449.8977862837
stores,residential urban decentral water tanks,0.0,744189.9351522605,892453.2657627653,894551.9922897056
stores,services rural water tanks,0.0,98283.85138604442,131133.89427767947,133748.23297987596
stores,services urban decentral water tanks,0.0,279946.2514347406,334658.3662374612,334838.2178750459
stores,uranium,0.0,3526981597.227407,3885043433.8154745,3228305833.807852
stores,urban central water tanks,0.0,2968856.7446296383,16438324.2690618,19683712.790307812
