Year,Solar,ROR,Wind (Onshore),Wind (Offshore),AC Lines,DC Lines,Distrib Grid,PHS,Hydro,Battery
1995,117205.38130157396,328440.7243080283,167870.5179815306,790094.0957788628,27106.059908599524,12362.43666345112,53576.96728813118,194716.00838482493,194716.00838482493,52087.94437244304
1996,115451.0296461395,328440.7243080283,166597.97349960453,780861.2354036085,27032.741475163875,12991.18507252923,53576.96728813118,194716.00838482493,194716.00838482493,50992.36563041994
1997,113696.67799070504,328440.7243080283,165325.42901767834,771628.3750283542,26959.42304172822,13619.933481607335,53576.96728813118,194716.00838482493,194716.00838482493,49896.786888396855
1998,111942.32633527058,328440.7243080283,164052.88453575224,762395.5146530999,26886.104608292575,14248.68189068544,53576.96728813118,194716.00838482493,194716.00838482493,48801.20814637376
1999,110187.97467983613,328440.7243080283,162780.34005382608,753162.6542778458,26812.786174856923,14877.43029976355,53576.96728813118,194716.00838482493,194716.00838482493,47705.62940435067
2000,93969.6642392017,284630.0227260708,139964.27398252388,644697.0137190138,23172.690679447926,13437.809844046282,46430.33670365697,168742.84395903634,168742.84395903634,40392.73694585906
2001,89648.35506255116,276006.48459558986,134654.33817567027,617405.5251317184,22409.005898110325,13559.050944140876,45023.62009962398,163630.38134813678,163630.38134813678,38248.26966696851
2002,93091.04871661276,291397.8066464494,141034.2281450019,643643.2027809559,23593.580259238355,14872.998134417203,47534.33298328764,172755.1231103612,172755.1231103612,39409.14474928206
2003,109499.94293472481,348590.1187334385,167364.24039513126,760171.0294254351,28146.44867830409,18459.42563216672,56863.84180188181,206661.5722674808,206661.5722674808,45981.14120920607
2004,118366.16091082904,383333.8395189054,182560.0831513081,825160.7456128455,30866.21219394726,21033.09570472461,62531.41909733664,227259.37919911536,227259.37919911536,49285.36219728777
2005,116336.17603924492,383391.7619188248,181102.2158656635,814507.8292521216,30785.290875781386,21770.217419523447,62540.8677018977,227293.7184806772,227293.7184806772,48013.930546081116
2006,115345.53845479552,386938.3564085996,181278.32189338442,811165.1969653112,30983.695568745003,22712.337440835723,63119.40672857675,229396.31621384044,229396.31621384044,47167.37792340881
2007,123642.9988786626,422340.7270306161,196227.76197136953,873509.0932368427,33724.22450439442,25598.875500406582,68894.42642728866,250384.60355062713,250384.60355062713,50074.08889787917
2008,130268.93773588333,453243.259783728,208829.59083814008,924682.2592101984,36090.636637087046,28339.600189683482,73935.40905793563,268705.1630346697,268705.1630346697,52226.111405467855
2009,121243.8705462462,429830.61767362076,196376.95185184697,864834.0083754611,34130.394126372914,27698.539042817236,70116.21652904108,254824.9835075199,254824.9835075199,48094.545256902034
2010,113057.97686048236,408546.5982052756,185069.99520549053,810525.0960677057,32349.151099649156,27109.08282758614,66644.25604905501,242206.7574273268,242206.7574273268,44350.249165243156
2011,116415.57888079167,428959.3679647968,192654.89503412278,838963.9053480274,33869.698369403,29284.746465576995,69974.09372363136,254308.4633166512,254308.4633166512,45135.302548363106
2012,105337.88500877253,395933.80282906495,176288.35552390848,763241.9354617703,31173.68656412991,27788.068322877873,64586.79095636031,234729.26456950745,234729.26456950745,40339.62214999368
2013,106704.20797304905,409286.63007678563,180647.8802272828,777476.6569573745,32133.650158958782,29508.73335594954,66764.9739151345,242645.48515331626,242645.48515331626,40334.815617703054
2014,104548.14211086695,409404.5807759927,179113.70126261064,766191.8639703555,32051.518483203494,30300.978413529814,66784.21464956639,242715.4121983993,242715.4121983993,38980.78991312925
2015,85488.25230504638,341919.00013558386,148264.1259707283,630282.3010755042,26691.871451072675,25960.765214323856,55775.61407480708,202706.60113053437,202706.60113053437,31414.72215370066
2016,83465.11888571645,341114.74394513894,146593.73155175778,619210.6193412575,26552.939596185395,26552.711571639837,55644.41960220467,202229.79803173424,202229.79803173424,30202.973534838948
2017,83323.13618788621,348134.2682852739,148261.51818138533,622166.3843324785,27021.636397875347,27765.566960446788,56789.48109463075,206391.32143341005,206391.32143341005,29663.225654011694
2018,85161.01600769842,363935.19048733707,153580.66062337926,640174.2698221331,28166.83729095823,29722.47189862402,59367.01009541413,215758.89455171622,215758.89455171622,29795.585915660737
2019,78884.82609902738,344988.8760227126,144248.65504546787,597149.0152694528,26623.47096289503,28835.559646732476,56276.38827182495,204526.5763490092,204526.5763490092,27093.661758335773
2020,78605.78057749243,351990.99968162103,145812.63159121323,599374.2621148282,27085.263030026115,30094.65707087427,57418.61127419828,208677.78376079444,208677.78376079444,26469.43741056159
2021,79449.14362464975,364485.52122179704,149576.29977123527,610403.9523548654,27965.335907511027,31860.668845197433,59456.78292069314,216085.15800193633,216085.15800193633,26193.20202333567
2022,69003.86241955485,324518.39044565655,131917.38034224734,534348.3940716495,24826.394746909064,28988.273163200272,52937.135691485644,192390.65365044252,192390.65365044252,22238.52945040736
2023,69073.20060734973,333214.95504910714,134161.5091445127,539300.9915109617,25417.317519158427,30402.999623313346,54355.764755405304,197546.40998916177,197546.40998916177,21722.98170992101
2024,67625.34042685087,334858.87641540606,133525.9854884862,532548.3593853466,25467.96309648339,31194.02827103564,54623.92979934746,198521.00839567377,198521.00839567377,20713.164638465987
2025,68824.42884904529,350055.0398303414,138229.21221118196,546875.3649651138,26545.57617731107,33279.76383911014,57102.80738647494,207530.05040516795,207530.05040516795,20485.46705304726
2026,72667.022861508,379920.841552949,148550.57113021018,582853.3461637816,28725.566485819843,36846.407314692915,61974.673033760766,225235.98413458222,225235.98413458222,20965.93395318021
2027,76420.94201114825,411025.7229959301,159120.18410586915,619018.2956963292,30985.632203089786,40649.94107316875,67048.66384011664,243676.50599319406,243676.50599319406,21311.399749692006
2028,77640.96079226412,429939.1255719862,164776.3199419334,635416.4023407785,32315.464024440676,43343.504672697716,70133.91690445427,254889.31239028092,254889.31239028092,20857.89994989677
2029,74168.80864654247,423230.4906938187,160565.3943856535,613604.0509381937,31716.745159431932,43477.39485421512,69039.56932568536,250912.09973512037,250912.09973512037,19120.671157595545
2030,64133.16996305898,377469.25977412896,141741.97012775615,536647.8223926815,28203.151331862606,39499.065541431475,61574.75820272162,223782.5644369898,223782.5644369898,15794.151073076304
2031,62384.792404032116,369172.60169086716,138225.40741929214,524714.8035622623,27541.76152582263,38652.83281535063,60221.36398017435,218863.89258741934,218863.89258741934,14867.306273290786
2032,62085.23828071855,369405.8176964204,137911.3567779416,524908.5277237803,27517.640940577134,38699.2092558504,60259.407393721565,219002.1546430413,219002.1546430413,14296.63790897323
2033,61785.25616260766,369639.03370197373,137596.79934327112,525102.0779521711,27493.46793061639,38745.61342227024,60297.450807268775,219140.41669866323,219140.41669866323,13725.237128595758
