Year,Solar,ROR,Wind (Onshore),Wind (Offshore),AC Lines,DC Lines,Distrib Grid,PHS,Hydro,Battery
2041,49342.48182990602,308170.3719034552,112217.33443558951,436186.03149917925,22640.056693372553,32454.94131813167,50270.36147672705,182698.73459185107,182698.73459185107,7993.462584035799
2042,49153.63462159282,308170.3719034552,112063.21641178064,435395.5998058971,22601.095469622363,32479.19355906692,50270.36147672705,182698.73459185107,182698.73459185107,7931.446428319044
2043,48964.78741327963,308170.3719034552,111909.09838797178,434605.168112615,22562.134245872177,32503.445800002166,50270.36147672705,182698.73459185107,182698.73459185107,7869.430272602288
2044,48775.94020496643,308170.3719034552,111754.98036416293,433814.7364193329,22523.173022121988,32527.698040937415,50270.36147672705,182698.73459185107,182698.73459185107,7807.414116885532
2045,48587.092996653235,308170.3719034552,111600.86234035407,433024.3047260508,22484.211798371798,32551.95028187266,50270.36147672705,182698.73459185107,182698.73459185107,7745.397961168777
2046,48398.24578834004,308170.3719034552,111446.7443165452,432233.87303276866,22445.25057462161,32576.202522807907,50270.361476727056,182698.73459185107,182698.73459185107,7683.381805452022
2047,48209.39858002684,308170.3719034552,111292.62629273634,431443.44133948657,22406.28935087142,32600.454763743157,50270.361476727056,182698.73459185107,182698.73459185107,7621.365649735266
2048,48020.55137171365,308170.3719034552,111138.50826892749,430653.0096462045,22367.328127121233,32624.707004678403,50270.361476727056,182698.73459185107,182698.73459185107,7559.34949401851
2049,47831.70416340045,308170.3719034552,110984.39024511861,429862.5779529223,22328.366903371043,32648.959245613652,50270.361476727056,182698.73459185107,182698.73459185107,7497.333338301754
2050,47642.856955087256,308170.3719034552,110830.27222130976,429072.1462596402,22289.405679620853,32673.2114865489,50270.361476727056,182698.73459185107,182698.73459185107,7435.317182584999
