Years,rNTC [-],sum_rNTC_z [MW],sum_peak_loads [MW]
2020,0.23061103913356382,111029.38568687778,481457.3756053911
2030,0.41493677900548714,218780.67303426116,527262.6677216482
2040,0.5180084897362219,298643.376346294,576522.165685678
2050,0.5552034891722964,363002.8026918033,653819.3829310618
